maker_model,body_type,type,seat,door,mileage,non_smoker_vehicle,power,gearbox,engine_size,fuel_type,emission_classe,colour,upholstery_colour,upholstery,price (€),car_age,inspection_interval
650,3,5,2,2,8600,1,309,0,3995,16,5,12,1,3,123900,2,0
795,8,5,5,5,14747,1,110,0,1498,21,7,1,1,0,34997,1,0
775,8,5,5,4,111000,1,85,1,1598,3,5,1,1,2,18990,5,0
606,8,2,5,5,11483,1,96,1,1199,26,7,1,5,0,31990,1,0
774,8,5,5,5,14226,1,81,1,999,21,7,7,1,0,23997,1,0
235,2,5,5,5,48507,1,74,0,998,11,8,13,1,2,15980,5,0
741,12,5,5,5,50216,1,53,1,998,20,5,2,4,0,11990,5,0
601,18,5,5,5,54039,0,75,1,1499,4,8,10,4,0,19250,4,0
99,13,5,5,4,77345,1,294,0,2993,3,6,1,1,1,47499,4,0
71,3,5,4,2,87485,1,110,1,2000,4,5,12,1,1,20790,7,-1
702,13,5,5,5,104100,1,140,0,1968,3,8,1,1,0,22950,4,0
87,4,5,4,2,137994,1,135,0,1998,16,5,10,1,2,20490,9,0
607,8,5,5,5,14139,1,96,1,1499,4,7,12,1,0,20485,2,-1
24,13,5,5,4,80000,1,140,0,1984,11,5,1,1,1,23990,5,0
95,13,5,5,5,89987,1,195,0,2993,4,5,7,1,1,37830,5,0
64,12,3,5,4,195,1,100,0,1499,25,7,1,4,3,32990,1,0
732,13,5,5,5,9990,1,112,0,1987,10,7,1,5,3,33490,1,0
410,12,5,5,5,145000,1,90,1,1595,20,5,1,1,0,12990,9,-2
425,13,5,5,4,85987,1,100,0,2143,3,5,1,5,0,21490,7,0
702,13,5,5,5,116493,1,140,0,1968,4,5,7,1,1,22700,6,-1
392,13,5,5,4,72312,1,104,0,1968,11,2,1,1,0,7890,20,0
698,13,5,5,4,132631,0,135,0,1968,3,5,1,1,3,16608,5,-2
188,2,3,5,4,0,0,74,1,999,13,7,8,1,0,20290,1,0
321,8,1,5,5,10900,1,104,0,1580,10,7,12,1,0,29990,1,-2
581,8,5,5,5,23900,0,83,1,1598,25,8,12,1,0,13790,4,0
80,12,5,5,4,184650,1,140,0,1995,3,5,12,1,0,19950,5,0
287,19,5,3,5,225000,0,115,1,2287,3,4,12,1,0,13990,6,0
559,18,5,6,4,69800,1,165,0,2987,3,4,1,1,1,30990,10,0
319,8,1,5,5,16030,1,88,1,998,25,7,13,1,3,22490,1,-2
775,8,5,5,5,14521,1,110,0,1498,21,5,12,1,4,30897,1,0
27,13,5,5,4,138000,1,210,0,2967,3,5,2,5,5,37990,4,0
223,18,5,2,4,18832,1,88,1,1499,4,7,12,1,0,25450,1,0
608,13,5,5,4,52760,0,147,0,1998,18,7,4,1,3,27400,2,0
795,8,5,5,5,44000,1,140,0,1984,20,4,1,1,1,40550,3,-2
167,13,1,5,5,6254,0,165,0,1598,21,7,7,1,1,42850,1,0
29,12,1,4,5,44500,1,195,0,1984,16,5,9,1,5,59470,3,0
426,13,5,5,4,94000,1,125,0,2143,3,5,1,1,3,24990,5,0
1,4,3,2,2,44225,1,6,0,479,3,5,10,1,1,12550,1,0
33,8,5,5,4,43313,0,110,1,1968,3,5,1,1,0,24890,5,0
137,8,3,5,5,0,1,230,0,0,10,5,12,2,0,69700,1,0
80,12,5,5,5,27161,1,140,0,1995,4,5,12,1,1,30800,4,0
